name,type,sponsoring_org,dates,iana_url
.booking,generic,Booking.com B.V.,"Record last updated 2016-07-23.Registration date 2016-07-07.",https://www.iana.org/domains/root/db/booking.html
.boots,generic,THE BOOTS COMPANY PLC,"Record last updated 2015-08-05.Registration date 2015-06-18.",https://www.iana.org/domains/root/db/boots.html
.bosch,generic,Robert Bosch GMBH,"Record last updated 2016-02-22.Registration date 2015-12-18.",https://www.iana.org/domains/root/db/bosch.html
.bostik,generic,Bostik SA,"Record last updated 2015-11-25.Registration date 2015-11-06.",https://www.iana.org/domains/root/db/bostik.html
.bot,generic,"Amazon Registry Services, Inc.","Record last updated 2016-06-14.Registration date 2015-11-12.",https://www.iana.org/domains/root/db/bot.html
.boutique,generic,"Over Galley, LLC","Record last updated 2015-06-29.Registration date 2014-01-16.",https://www.iana.org/domains/root/db/boutique.html
.bq,country-code,Not assigned,"Record last updated 2010-12-20.Registration date 2010-12-20.",https://www.iana.org/domains/root/db/bq.html
.br,country-code,Comite Gestor da Internet no Brasil,"Record last updated 2015-06-18.Registration date 1989-04-18.",https://www.iana.org/domains/root/db/br.html
.bradesco,generic,Banco Bradesco S.A.,"Record last updated 2016-08-08.Registration date 2015-05-29.",https://www.iana.org/domains/root/db/bradesco.html
.bridgestone,generic,Bridgestone Corporation,"Record last updated 2016-04-13.Registration date 2015-04-16.",https://www.iana.org/domains/root/db/bridgestone.html
.broadway,generic,"Celebrate Broadway, Inc.","Record last updated 2016-08-08.Registration date 2015-10-08.",https://www.iana.org/domains/root/db/broadway.html
.broker,generic,DOTBROKER REGISTRY LTD,"Record last updated 2016-02-24.Registration date 2015-03-06.",https://www.iana.org/domains/root/db/broker.html
.brother,generic,"Brother Industries, Ltd.","Record last updated 2016-03-11.Registration date 2015-04-09.",https://www.iana.org/domains/root/db/brother.html
.brussels,generic,DNS.be vzw,"Record last updated 2015-12-24.Registration date 2014-06-05.",https://www.iana.org/domains/root/db/brussels.html
.bs,country-code,The College of the Bahamas,"Record last updated 2015-02-12.Registration date 1991-09-03.",https://www.iana.org/domains/root/db/bs.html
.bt,country-code,Ministry of Information and Communications,"Record last updated 2012-08-11.Registration date 1997-07-16.",https://www.iana.org/domains/root/db/bt.html
.budapest,generic,Top Level Domain Holdings Limited,"Record last updated 2016-04-16.Registration date 2014-02-28.",https://www.iana.org/domains/root/db/budapest.html
.bugatti,generic,Bugatti International SA,"Record last updated 2015-11-25.Registration date 2015-11-12.",https://www.iana.org/domains/root/db/bugatti.html
.build,generic,Plan Bee LLC,"Record last updated 2014-02-09.Registration date 2014-01-09.",https://www.iana.org/domains/root/db/build.html
.builders,generic,"Atomic Madison, LLC","Record last updated 2015-06-29.Registration date 2013-12-19.",https://www.iana.org/domains/root/db/builders.html
.business,generic,"Spring Cross, LLC","Record last updated 2015-06-29.Registration date 2014-08-18.",https://www.iana.org/domains/root/db/business.html
.buy,generic,"Amazon Registry Services, INC","Record last updated 2016-06-14.Registration date 2015-11-20.",https://www.iana.org/domains/root/db/buy.html
.buzz,generic,DOTSTRATEGY CO.,"Record last updated 2015-08-17.Registration date 2013-12-12.",https://www.iana.org/domains/root/db/buzz.html
.bv,country-code,UNINETT Norid A/S,"Record last updated 2015-04-16.Registration date 1997-08-21.",https://www.iana.org/domains/root/db/bv.html
.bw,country-code,Botswana Communications Regulatory Authority (BOCRA),"Record last updated 2016-06-25.Registration date 1993-03-19.",https://www.iana.org/domains/root/db/bw.html
.by,country-code,"Reliable Software, Ltd.","Record last updated 2016-03-01.Registration date 1994-05-10.",https://www.iana.org/domains/root/db/by.html
.bz,country-code,University of Belize,"Record last updated 2010-10-18.Registration date 1991-09-03.",https://www.iana.org/domains/root/db/bz.html
.bzh,generic,Association www.bzh,"Record last updated 2016-04-02.Registration date 2014-05-29.",https://www.iana.org/domains/root/db/bzh.html
.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI),"Record last updated 2016-07-14.Registration date 1987-05-14.",https://www.iana.org/domains/root/db/ca.html
.cab,generic,"Half Sunset, LLC","Record last updated 2015-06-29.Registration date 2013-12-12.",https://www.iana.org/domains/root/db/cab.html
.cafe,generic,"Pioneer Canyon, LLC","Record last updated 2015-06-29.Registration date 2015-03-12.",https://www.iana.org/domains/root/db/cafe.html
.cal,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-09-04.",https://www.iana.org/domains/root/db/cal.html
.call,generic,"Amazon Registry Services, Inc.","Record last updated 2016-06-14.Registration date 2015-11-12.",https://www.iana.org/domains/root/db/call.html
.calvinklein,generic,PVH gTLD Holdings LLC,"Record last updated 2016-08-04.Registration date 2016-07-28.",https://www.iana.org/domains/root/db/calvinklein.html
.cam,generic,AC Webconnecting Holding B.V.,"Record last updated 2016-06-16.Registration date 2016-06-09.",https://www.iana.org/domains/root/db/cam.html
