name,type,sponsoring_org,last_updated,registered,iana_url
.social,generic,United TLD Holdco Ltd.,2015-06-11,2014-01-09,https://www.iana.org/domains/root/db/social.html
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2014-01-20,2014-01-09,https://www.iana.org/domains/root/db/xn--55qx5d.html
.中信,generic,CITIC Group Corporation,2014-01-22,2014-01-09,https://www.iana.org/domains/root/db/xn--fiq64b.html
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2014-01-20,2014-01-09,https://www.iana.org/domains/root/db/xn--io0a7i.html
.zone,generic,"Outer Falls, LLC",2015-06-29,2014-01-09,https://www.iana.org/domains/root/db/zone.html
.bargains,generic,"Half Hallow, LLC",2015-06-29,2014-01-16,https://www.iana.org/domains/root/db/bargains.html
.boutique,generic,"Over Galley, LLC",2015-06-29,2014-01-16,https://www.iana.org/domains/root/db/boutique.html
.cool,generic,"Koko Lake, LLC",2015-06-29,2014-01-16,https://www.iana.org/domains/root/db/cool.html
.expert,generic,"Magic Pass, LLC",2015-06-29,2014-01-16,https://www.iana.org/domains/root/db/expert.html
.nagoya,generic,"GMO Registry, Inc.",2016-01-20,2014-01-16,https://www.iana.org/domains/root/db/nagoya.html
.photo,generic,"Uniregistry, Corp.",2015-09-09,2014-01-16,https://www.iana.org/domains/root/db/photo.html
.red,generic,Afilias Limited,2014-01-20,2014-01-16,https://www.iana.org/domains/root/db/red.html
.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2014-01-20,2014-01-16,https://www.iana.org/domains/root/db/rich.html
.rocks,generic,"United TLD Holdco, LTD.",2015-06-11,2014-01-16,https://www.iana.org/domains/root/db/rocks.html
.shiksha,generic,Afilias Limited,2014-01-20,2014-01-16,https://www.iana.org/domains/root/db/shiksha.html
.tienda,generic,"Victor Manor, LLC",2015-06-29,2014-01-16,https://www.iana.org/domains/root/db/tienda.html
.tokyo,generic,"GMO Registry, Inc.",2016-01-20,2014-01-16,https://www.iana.org/domains/root/db/tokyo.html
.tools,generic,"Pioneer North, LLC",2015-06-29,2014-01-16,https://www.iana.org/domains/root/db/tools.html
.voting,generic,Valuetainment Corp.,2016-01-21,2014-01-16,https://www.iana.org/domains/root/db/voting.html
.watch,generic,"Sand Shadow, LLC",2015-06-29,2014-01-16,https://www.iana.org/domains/root/db/watch.html
.works,generic,"Little Dynamite, LLC",2015-06-29,2014-01-16,https://www.iana.org/domains/root/db/works.html
.blue,generic,Afilias Limited,2014-02-05,2014-01-23,https://www.iana.org/domains/root/db/blue.html
.community,generic,"Fox Orchard, LLC",2015-06-29,2014-01-23,https://www.iana.org/domains/root/db/community.html
.dating,generic,"Pine Fest, LLC",2015-06-29,2014-01-23,https://www.iana.org/domains/root/db/dating.html
.mango,generic,PUNTO FA S.L.,2015-03-31,2014-01-23,https://www.iana.org/domains/root/db/mango.html
